id,nom,T_aller,T_retour,Id_Parc,no_parc,qlEner_iEGID,qlEner_sCommune,qlEner_sRue,qlEner_sNoRue,qlEner_sType,qlEner_Conso,qlEner_iCuisson,qlEner_sRecommendation,qlEner_iEDID,Année_construction,Période_de_construction,Année_de_rénovation_du_bâtiment,Surface_bâtiment,Nombre_de_niveau,SRE_calculée,qlEner_Densité,qlEner_iConsoRenov,geometry
0.0,Bergières-Bossons,130.0,70.0,,,2119330.0,Lausanne,Chemin Guillaume-de-Pierrefleur,20,CAD,117.1,,Déjà raccordé,0.0,1979.0,8015.0,0.0,71.0,2.0,113.599998,1030.80985915493,,MULTIPOINT (2537034.541000049 1154014.8030046555)
0.0,Sud-Ouest / Cadouest,130.0,70.0,132530.0,530.0,190041627.0,Lausanne,Rue du Port-Franc,16,CAD,777.812657,,Déjà raccordé,1.0,2004.0,8020.0,2016.0,315.0,3.0,756.0,1028.85272089947,,MULTIPOINT (2537705.7150000497 1152602.2780048077)
0.0,Bergières-Bossons,130.0,70.0,1322140.0,2140.0,882923.0,Lausanne,Rue des Oliviers,5,Gaz,428.928313,,CAD prévu,0.0,1894.0,8011.0,2004.0,131.0,4.0,419.200012,1023.20685353053,,MULTIPOINT (2538087.3510000487 1153312.8530047315)
,,,,1322682.0,2682.0,300000881.0,Lausanne,Route du Pavement,75,Gaz,208.693567,,Gaz conservé,1.0,2008.0,8021.0,2018.0,51.0,5.0,204.0,1023.00768137255,,MULTIPOINT (2538343.8970000474 1154238.8410046299)
,,,,,,887332.0,Lausanne,Route du Jorat,70,Gaz,356.798823,,CAD actuel,0.0,1901.0,8011.0,0.0,146.0,3.0,350.399994,1018.26148116438,,MULTIPOINT (2542973.589000042 1156210.4730044159)
0.0,Vallon,175.0,75.0,1322918.0,2918.0,880680.0,Lausanne,Chemin du Petit-Château,3,CAD,483.0,0.0,Déjà raccordé,0.0,1884.0,8011.0,2010.0,120.0,5.0,480.0,1006.25,,MULTIPOINT (2538350.2430000487 1153178.4750047452)
0.0,Sud-Ouest / Cadouest,130.0,70.0,13220447.0,20447.0,2118808.0,Lausanne,Avenue de la Gare,12,Gaz,355.875756,,CAD actuel,0.0,1900.0,8011.0,0.0,225.0,2.0,360.0,988.543766666667,,MULTIPOINT (2538311.6300000497 1152089.1760048629)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1321095.0,1095.0,883275.0,Lausanne,Rue des Echelettes,11,Gaz,1270.549418,,CAD futur,0.0,1906.0,8011.0,2014.0,271.0,6.0,1300.80005,976.744632533825,,MULTIPOINT (2537533.4720000494 1152935.4480047724)
0.0,Ruffy,175.0,75.0,1323619.0,3619.0,881443.0,Lausanne,Chemin du Devin,43C,CAD,69.8,,Déjà raccordé remplaçable par sonde,0.0,1986.0,8017.0,0.0,45.0,2.0,72.0,969.444444444444,,MULTIPOINT (2539589.537000047 1153674.7090046883)
0.0,Vennes-Boissonet,175.0,75.0,13220960.0,20960.0,886911.0,Lausanne,Avenue de Valmont,24,CAD,1162.2,,Déjà raccordé,0.0,1964.0,8014.0,0.0,511.0,3.0,1226.40002,947.651663405088,,MULTIPOINT (2540300.8510000454 1154603.5240045919)
0.0,Sud-Ouest / Cadouest,130.0,70.0,13218288.0,18288.0,300000417.0,Lausanne,Chemin des Plaines,18A,Gaz,46.376677,,Sondes,0.0,1997.0,8019.0,0.0,62.0,1.0,49.5999985,935.013649193548,,MULTIPOINT (2536728.4940000516 1151742.0420048984)
0.0,Bergières-Bossons,130.0,70.0,,,2119358.0,Lausanne,Rue de la Pontaise,33,Gaz,129.954175,,Gaz conservé,0.0,1935.0,8012.0,2013.0,88.0,2.0,140.800003,922.969992897727,,MULTIPOINT (2537913.6280000485 1153583.7010047028)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,4701.0,886773.0,Lausanne,Avenue de Cour,148,Mazout,694.15624,,CAD futur,0.0,1964.0,8014.0,2018.0,192.0,5.0,768.0,903.849270833333,,MULTIPOINT (2536336.8670000513 1152232.4440048474)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,4701.0,886771.0,Lausanne,Avenue de Cour,144,Mazout,694.15624,,CAD futur,0.0,1964.0,8014.0,2018.0,192.0,5.0,768.0,903.849270833333,,MULTIPOINT (2536356.267000051 1152211.944004845)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,4701.0,886772.0,Lausanne,Avenue de Cour,146,Mazout,694.15624,,CAD futur,0.0,1964.0,8014.0,2018.0,192.0,5.0,768.0,903.849270833333,,MULTIPOINT (2536346.497000051 1152222.2840048454)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325189.0,5189.0,280091842.0,Lausanne,Rue Voltaire,6,CAD,1229.1,,Déjà raccordé,0.0,2015.0,8022.0,0.0,285.0,6.0,1368.0,898.464912280702,,MULTIPOINT (2537769.623000051 1151656.7390049053)
0.0,Ruffy,175.0,75.0,,,300000608.0,Lausanne,Avenue du Temple,10A,CAD,659.2,,Déjà raccordé,0.0,2007.0,8021.0,0.0,926.0,1.0,740.799988,889.848812095032,,MULTIPOINT (2539751.451000047 1153447.576004713)
0.0,Dôle,175.0,75.0,13210688.0,10688.0,884688.0,Lausanne,Rue Cheneau-de-Bourg,15,CAD,315.916898,,Déjà raccordé,0.0,1918.0,8011.0,2006.0,76.0,6.0,364.799988,866.000268640351,,MULTIPOINT (2538439.3560000495 1152430.296004825)
0.0,Bergières-Bossons,130.0,70.0,1321279.0,1279.0,887747.0,Lausanne,Chemin du Cerisier,8,Gaz,200.158863,,CAD actuel,0.0,1988.0,8017.0,0.0,145.0,2.0,232.0,862.753719827586,,MULTIPOINT (2537257.607000049 1153348.5710047255)
0.0,Cadouest,0.0,0.0,13220056.0,20056.0,300000512.0,Lausanne,Route de Chavannes,50,Gaz,750.703477,,Sondes,0.0,2004.0,8020.0,0.0,275.0,4.0,880.0,853.072132954545,,MULTIPOINT (2534806.3040000517 1153105.1340047556)
0.0,Ruffy,175.0,75.0,1324046.0,4046.0,887663.0,Lausanne,Chemin de Rovéréaz,18,Gaz,706.385471,,Sondes,0.0,1908.0,8011.0,0.0,520.0,2.0,832.0,849.020998798077,,MULTIPOINT (2539862.1030000476 1153252.229004736)
,,,,1322989.0,2989.0,882342.0,Lausanne,Rue du Bugnon,5,CAD,803.5,0.0,Déjà raccordé,0.0,1965.0,8014.0,0.0,170.0,7.0,952.0,844.012605042017,,MULTIPOINT (2538731.256000049 1152650.8050047997)
0.0,Bergières-Bossons,130.0,70.0,,,887187.0,Lausanne,Avenue de Gratta-Paille,21,CAD,497.5,,Déjà raccordé,0.0,1990.0,8017.0,2013.0,249.0,3.0,597.599976,832.496653279786,,MULTIPOINT (2537183.9460000484 1154151.2550046418)
0.0,Bergières-Bossons,130.0,70.0,1322762.0,2762.0,880456.0,Lausanne,Rue de la Borde,48,CAD,417.1,,Déjà raccordé,0.0,1928.0,8012.0,2011.0,157.0,4.0,502.399994,830.214968152866,,MULTIPOINT (2537991.0780000486 1153754.9410046814)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,,300000813.0,Lausanne,Avenue de Rhodanie,54,Gaz,494.034388,,Gaz conservé,0.0,2007.0,8021.0,0.0,249.0,3.0,597.599976,826.697436412316,,MULTIPOINT (2536352.7500000517 1151896.4960048818)
0.0,Sud-Ouest / Cadouest,130.0,70.0,132527.0,527.0,2118919.0,Lausanne,Rue du Grand-Chêne,10,Mazout,129.41833,,CAD actuel,0.0,1956.0,8013.0,2020.0,33.0,6.0,158.399994,817.034911616162,,MULTIPOINT (2537977.1410000497 1152404.2010048265)
0.0,Vallon,175.0,75.0,13210001.0,10001.0,887738.0,Lausanne,Place de la Palud,19,Gaz,218.678246,,Gaz conservé,0.0,1620.0,8011.0,0.0,168.0,2.0,268.799988,813.535141369048,,MULTIPOINT (2538185.3750000494 1152615.5450048032)
0.0,Bergières-Bossons,130.0,70.0,1321670.0,1670.0,882553.0,Lausanne,Rue du Tunnel,17,CAD,785.5,,Déjà raccordé,0.0,1940.0,8012.0,0.0,174.0,7.0,974.400024,806.13711001642,,MULTIPOINT (2538250.8540000487 1152996.2740047623)
0.0,Ruffy,175.0,75.0,1323552.0,3552.0,280030681.0,Lausanne,Chemin de Rovéréaz,23,CAD,1105.0,,Déjà raccordé remplaçable par sonde,0.0,1899.0,8011.0,2013.0,430.0,4.0,1376.0,803.052325581395,,MULTIPOINT (2539923.762000047 1153457.0230047095)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1324681.0,4681.0,886265.0,Lausanne,Avenue de Cour,90,Mazout,899.16988,,CAD futur,0.0,1969.0,8014.0,2011.0,236.0,6.0,1132.80005,793.758721751413,,MULTIPOINT (2536641.429000051 1152031.4880048656)
0.0,Bergières-Bossons,130.0,70.0,1321976.0,1976.0,880015.0,Lausanne,Route du Châtelard,56,Gaz,3283.381667,,CAD actuel,0.0,1969.0,8014.0,0.0,479.0,11.0,4215.2002,778.938524150693,,MULTIPOINT (2537539.335000047 1155100.944004537)
0.0,Vallon,175.0,75.0,1322989.0,2989.0,280086324.0,Lausanne,Rue du Bugnon,9A,CAD,213.0,,Déjà raccordé,0.0,1959.0,8013.0,0.0,342.0,0.0,273.600006,778.508771929824,,MULTIPOINT (2538722.896000049 1152750.5850047856)
,,,,13220091.0,20091.0,886466.0,Lausanne,Avenue de Rhodanie,17,Gaz,476.158697,,Sondes,0.0,1963.0,8014.0,0.0,383.0,2.0,612.799988,777.021372389034,,MULTIPOINT (2537044.4930000515 1151201.219004957)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,,886970.0,Lausanne,Chemin des Pyramides,22,CAD,507.0,,Déjà raccordé,0.0,1954.0,8013.0,0.0,820.0,1.0,656.0,772.865853658537,,MULTIPOINT (2535867.937000051 1152661.5170048005)
0.0,Vallon,175.0,75.0,1322989.0,2989.0,9081229.0,Lausanne,Rue du Bugnon,7,CAD,287.5,,Déjà raccordé,0.0,1915.0,8011.0,0.0,466.0,1.0,372.799988,771.190987124464,,MULTIPOINT (2538751.136000049 1152735.2050047906)
0.0,Vallon,175.0,75.0,,,880379.0,Lausanne,Route Aloys-Fauquez,44,Gaz,135.504862,,CAD actuel,0.0,1900.0,8011.0,0.0,55.0,4.0,176.0,769.913988636364,,MULTIPOINT (2538235.798000048 1153930.5360046662)
