Text,Irr,Weekday
3.96,0.0,0.0
3.59,0.0,0.0
3.1,0.0,0.0
2.49,0.0,0.0
1.96,0.0,0.0
1.47,0.0,0.0
1.2,35.0,0.0
1.87,204.0,0.0
4.49,354.0,0.0
6.69,479.0,0.0
8.39,583.0,0.0
9.49,620.0,0.0
10.32,610.0,0.0
10.66,553.0,0.0
10.84,422.0,0.0
10.75,285.0,0.0
9.95,44.0,0.0
8.91,0.0,0.0
7.17,0.0,0.0
5.5,0.0,0.0
4.63,0.0,0.0
4.11,0.0,0.0
3.71,0.0,0.0
3.37,0.0,0.0
6.36,0.0,0.0
5.81,0.0,0.0
5.21,0.0,0.0
4.42,0.0,0.0
3.85,0.0,0.0
3.36,50.0,0.0
4.75,186.0,0.0
7.73,300.0,0.0
9.74,447.0,0.0
11.34,593.0,0.0
13.23,655.0,0.0
14.26,708.0,0.0
15.17,748.0,0.0
15.23,615.0,0.0
15.34,601.0,0.0
14.95,476.0,0.0
14.33,301.0,0.0
13.5,213.0,0.0
12.74,29.0,0.0
11.87,0.0,0.0
11.59,0.0,0.0
11.11,0.0,0.0
10.64,0.0,0.0
10.07,0.0,0.0
-29.63,0.0,1.0
24.65,948.0,1.0
