Hour,Load_Profile
6939,44.93905044
6940,43.2262226
6941,41.51339476
6942,39.80056692
6943,38.08773908
6944,36.37491125
6945,34.66208341
6946,32.97323419
6947,33.11712137
6948,28.57700101
6949,27.72398494
6950,26.87096887
6951,28.13777688
6952,31.06260213
6953,33.98742738
6954,36.91225263
6955,39.83707788
6956,42.76190313
6957,47.25184075
6958,45.66274745
6959,44.07365415
6960,42.48456084
6961,40.89546754
6962,39.30637424
6963,37.71728094
6964,36.12818763
6965,34.53909433
6966,31.6120053
6967,30.50776728
6968,29.40352926
6969,27.4244743
6970,26.78150347
6971,26.9246288
6972,29.76766733
6973,32.61070586
6974,35.45374439
6975,38.29678292
6976,41.13982145
6977,43.98285998
6978,46.99639755
6979,45.16885806
6980,43.34131857
6981,41.51377907
6982,39.68623958
6983,37.85870009
6984,36.0311606
6985,34.19611044
6986,34.19414299
6987,32.56979374
6988,30.7049654
6989,34.05065507
6990,37.39634473
6991,40.74203439
6992,45.6423814
6993,46.0549891
6994,46.46759681
6995,46.88020452
6996,46.21709947
6997,44.53807599
6998,42.85905251
6999,41.18002904
7000,39.50100556
7001,37.82198208
7002,35.58231947
7003,36.19342704
7004,36.80453461
7005,37.41564218
7006,38.02674975
7007,38.63785732
7008,38.82267419
7009,39.96127349
7010,41.09987279
7011,42.23847209
7012,43.37707139
7013,44.5156707
7014,45.65427
7015,46.7928693
7016,47.37104221
7017,45.7221971
7018,44.073352
7019,42.42450689
7020,40.77566179
7021,37.83428797
7022,37.36426328
7023,36.89423858
7024,36.27294617
7025,36.97306431
7026,37.67318245
7027,38.37330059
7028,40.04838651
7029,41.02938871
7030,42.01039092
7031,42.99139312
7032,43.97239533
7033,44.95339754
7034,45.93439974
7035,46.87957376
7036,45.37228076
7037,43.86498775
7038,42.35769475
7039,40.85040174
7040,38.26937172
7041,37.73157036
7042,37.19376901
7043,36.65596765
7044,36.1181663
7045,34.26128571
7046,35.18420662
7047,36.10712752
7048,35.11211779
7049,40.21280511
7050,46.77639766
7051,44.91044259
7052,43.04448751
7053,41.17853243
7054,39.31257735
7055,37.44662227
7056,35.5806672
7057,34.88175752
7058,34.29066549
7059,33.69957347
7060,33.10848144
7061,31.37002138
7062,30.17719204
7063,28.9843627
7064,27.00728825
7065,26.50056867
7066,25.99384909
7067,31.14781182
7068,47.45120571
7069,47.70357939
7070,47.95595306
7071,46.65187828
7072,44.93905044
7073,43.2262226
7074,41.51339476
7075,39.80056692
7076,38.08773908
7077,36.37491125
7078,34.66208341
7079,32.97323419
7080,33.11712137
7081,28.57700101
7082,27.72398494
7083,26.87096887
7084,28.13777688
7085,31.06260213
7086,33.98742738
7087,36.91225263
7088,39.83707788
7089,42.76190313
7090,47.25184075
7091,45.66274745
7092,44.07365415
7093,42.48456084
7094,40.89546754
7095,39.30637424
7096,37.71728094
7097,36.12818763
7098,34.53909433
7099,31.6120053
7100,30.50776728
7101,29.40352926
7102,27.4244743
7103,26.78150347
7104,26.9246288
7105,29.76766733
7106,32.61070586
7107,35.45374439
7108,38.29678292
7109,41.13982145
7110,43.98285998
7111,46.99639755
7112,45.16885806
7113,43.34131857
7114,41.51377907
7115,39.68623958
7116,37.85870009
7117,36.0311606
7118,34.19611044
7119,34.19414299
7120,32.56979374
7121,30.7049654
7122,34.05065507
7123,37.39634473
7124,40.74203439
7125,45.6423814
7126,46.0549891
7127,46.46759681
7128,46.88020452
7129,46.21709947
7130,44.53807599
7131,42.85905251
7132,41.18002904
7133,39.50100556
7134,37.82198208
7135,35.58231947
7136,36.19342704
7137,36.80453461
7138,37.41564218
7139,38.02674975
7140,38.63785732
7141,38.82267419
7142,39.96127349
7143,41.09987279
7144,42.23847209
7145,43.37707139
7146,44.5156707
7147,45.65427
7148,46.7928693
7149,47.37104221
7150,45.7221971
7151,44.073352
7152,42.42450689
7153,40.77566179
7154,37.83428797
7155,37.36426328
7156,36.89423858
7157,36.27294617
7158,36.97306431
7159,37.67318245
7160,38.37330059
7161,40.04838651
7162,41.02938871
7163,42.01039092
7164,42.99139312
7165,43.97239533
7166,44.95339754
7167,45.93439974
