hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
441	1	19	9	3	3	3	3	0	2.8
442	1	19	10	13	13	13	13	0	3.1
443	1	19	11	24	24	24	24	0	3.0
444	1	19	12	31	31	31	31	0	3.6
445	1	19	13	35	35	35	35	0	3.8
446	1	19	14	263	163	263	163	266	5.6
447	1	19	15	215	128	215	128	271	6.7
448	1	19	16	143	79	143	79	282	7.0
449	1	19	17	53	36	53	36	174	6.7
450	1	19	18	0	0	0	0	0	6.1
451	1	19	19	0	0	0	0	0	5.9
452	1	19	20	0	0	0	0	0	5.6
453	1	19	21	0	0	0	0	0	5.4
454	1	19	22	0	0	0	0	0	5.2
455	1	19	23	0	0	0	0	0	4.9
456	1	19	24	0	0	0	0	0	4.7
457	1	20	1	0	0	0	0	0	4.4
458	1	20	2	0	0	0	0	0	4.0
459	1	20	3	0	0	0	0	0	3.6
460	1	20	4	0	0	0	0	0	3.4
461	1	20	5	0	0	0	0	0	3.2
462	1	20	6	0	0	0	0	0	2.9
463	1	20	7	0	0	0	0	0	2.8
464	1	20	8	0	0	0	0	0	2.6
465	1	20	9	3	3	3	3	0	2.7
466	1	20	10	41	41	41	41	0	3.3
467	1	20	11	68	68	68	68	0	3.8
468	1	20	12	98	98	98	98	0	4.3
469	1	20	13	113	113	113	113	0	4.7
470	1	20	14	105	105	105	105	0	4.8
471	1	20	15	86	86	86	86	0	4.9
472	1	20	16	60	60	60	60	0	4.7
473	1	20	17	27	27	27	27	0	4.4
474	1	20	18	0	0	0	0	0	4.0
475	1	20	19	0	0	0	0	0	3.8
476	1	20	20	0	0	0	0	0	3.1
477	1	20	21	0	0	0	0	0	3.3
478	1	20	22	0	0	0	0	0	3.2
479	1	20	23	0	0	0	0	0	3.1
480	1	20	24	0	0	0	0	0	2.9
481	1	21	1	0	0	0	0	0	2.9
482	1	21	2	0	0	0	0	0	2.9
483	1	21	3	0	0	0	0	0	2.9
484	1	21	4	0	0	0	0	0	2.9
485	1	21	5	0	0	0	0	0	2.9
486	1	21	6	0	0	0	0	0	2.9
487	1	21	7	0	0	0	0	0	2.9
488	1	21	8	0	0	0	0	0	2.9
489	1	21	9	2	2	2	2	0	3.0
490	1	21	10	44	44	44	44	0	4.0
491	1	21	11	127	118	127	118	32	5.7
492	1	21	12	205	161	205	161	121	7.5
493	1	21	13	169	160	169	160	23	8.2
494	1	21	14	146	144	146	144	6	8.5
495	1	21	15	152	143	152	143	27	8.8
496	1	21	16	109	97	109	97	51	8.7
497	1	21	17	47	39	47	39	76	8.0
498	1	21	18	1	1	1	1	0	7.2
499	1	21	19	0	0	0	0	0	7.1
500	1	21	20	0	0	0	0	0	7.0
501	1	21	21	0	0	0	0	0	7.1
502	1	21	22	0	0	0	0	0	7.0
503	1	21	23	0	0	0	0	0	7.0
504	1	21	24	0	0	0	0	0	7.0
505	1	22	1	0	0	0	0	0	6.6
506	1	22	2	0	0	0	0	0	5.7
507	1	22	3	0	0	0	0	0	6.5
508	1	22	4	0	0	0	0	0	6.6
509	1	22	5	0	0	0	0	0	6.6
510	1	22	6	0	0	0	0	0	6.6
511	1	22	7	0	0	0	0	0	6.5
512	1	22	8	0	0	0	0	0	6.5
513	1	22	9	3	3	3	3	0	6.6
514	1	22	10	20	20	20	20	0	7.0
515	1	22	11	34	34	34	34	0	7.3
516	1	22	12	47	47	47	47	0	7.6
517	1	22	13	53	53	53	53	0	7.8
518	1	22	14	46	46	46	46	0	7.9
519	1	22	15	38	38	38	38	0	7.9
520	1	22	16	26	26	26	26	0	7.8
521	1	22	17	12	12	12	12	0	7.7
522	1	22	18	0	0	0	0	0	7.5
523	1	22	19	0	0	0	0	0	7.3
524	1	22	20	0	0	0	0	0	7.0
525	1	22	21	0	0	0	0	0	6.7
526	1	22	22	0	0	0	0	0	6.2
527	1	22	23	0	0	0	0	0	6.4
528	1	22	24	0	0	0	0	0	6.3
529	1	23	1	0	0	0	0	0	5.7
530	1	23	2	0	0	0	0	0	5.3
531	1	23	3	0	0	0	0	0	5.0
532	1	23	4	0	0	0	0	0	4.8
533	1	23	5	0	0	0	0	0	4.5
534	1	23	6	0	0	0	0	0	4.2
535	1	23	7	0	0	0	0	0	3.6
536	1	23	8	0	0	0	0	0	3.8
537	1	23	9	3	3	3	3	0	4.0
538	1	23	10	20	20	20	20	0	2.3
539	1	23	11	35	35	35	35	0	3.8
540	1	23	12	42	42	42	42	0	4.1
541	1	23	13	47	47	47	47	0	4.2
542	1	23	14	45	45	45	45	0	4.2
543	1	23	15	40	40	40	40	0	4.1
544	1	23	16	28	28	28	28	0	4.0
545	1	23	17	12	12	12	12	0	3.9
546	1	23	18	0	0	0	0	0	3.0
547	1	23	19	0	0	0	0	0	3.5
548	1	23	20	0	0	0	0	0	2.9
549	1	23	21	0	0	0	0	0	3.0
550	1	23	22	0	0	0	0	0	2.7
551	1	23	23	0	0	0	0	0	2.4
552	1	23	24	0	0	0	0	0	2.2
553	1	24	1	0	0	0	0	0	1.1
