id,Month,Day,Hour,Irr,Text,WS,PV_module_temp,,,u0,u1,,,
2277,4,5,21,0,15.7,0.292,15.7,,,,,,,
2278,4,5,22,0,14.8,0.62266667,14.8,,,,,,,
2279,4,5,23,0,13.9,0.52416667,13.9,,,,,,,
2280,4,5,24,0,13,0.40183333,13,,,,,,,
2281,4,6,1,0,12,0.399,12,,,,,,,
2282,4,6,2,0,10.9,0.43916667,10.9,,,,,,,
2283,4,6,3,0,9.8,0.4205,9.8,,,,,,,
2284,4,6,4,0,9.2,0.68116667,9.2,,,,,,,
2285,4,6,5,0,8.6,0.9735,8.6,,,,,,,
2286,4,6,6,0,8.1,0.76283333,8.1,,,,,,,
2287,4,6,7,15,8.4,1.02666667,9.044182318,,,,,,,
2288,4,6,8,179,10.3,1.2115,17.79681699,,,,,,,
2289,4,6,9,359,12.2,1.103,27.45737794,,,,,,,
2290,4,6,10,521,14.1,1.09416667,36.26895494,,,,,,,
2291,4,6,11,653,15.9,1.31733333,42.86623647,,,,,,,
2292,4,6,12,742,17.3,1.52316667,47.13018503,,,,,,,
2293,4,6,13,782,18.5,1.172,51.42576125,,,,,,,
2294,4,6,14,758,19.3,1.18166667,51.17373849,,,,,,,
2295,4,6,15,691,19.7,1.0195,49.40458766,,,,,,,
2296,4,6,16,573,19.7,0.73283333,45.34324416,,,,,,,
2297,4,6,17,417,19.2,0.9035,37.41660726,,,,,,,
2298,4,6,18,238,18.2,0.40683333,29.37272978,,,,,,,
2299,4,6,19,73,16.8,0.28983333,20.28823874,,,,,,,
2300,4,6,20,0,15.4,0.128,15.4,,,,,,,
2301,4,6,21,0,14.5,0.00883333,14.5,,,,,,,
2302,4,6,22,0,13.5,0.01933333,13.5,,,,,,,
2303,4,6,23,0,12.6,0.08083333,12.6,,,,,,,
2304,4,6,24,0,11.6,0.3095,11.6,,,,,,,
2305,4,7,1,0,11.1,1.03966667,11.1,,,,,,,
2306,4,7,2,0,10.5,1.09616667,10.5,,,,,,,
2307,4,7,3,0,10,0.73066667,10,,,,,,,
2308,4,7,4,0,9.7,0.87033333,9.7,,,,,,,
2309,4,7,5,0,9.3,1.0055,9.3,,,,,,,
2310,4,7,6,0,9.1,1.31066667,9.1,,,,,,,
2311,4,7,7,18,9.5,1.232,10.25180433,,,,,,,
2312,4,7,8,177,11.5,1.30266667,18.82357224,,,,,,,
2313,4,7,9,342,13.5,1.579,27.15116873,,,,,,,
2314,4,7,10,490,15.4,1.402,35.41110821,,,,,,,
2315,4,7,11,620,17.2,0,48.2,,,,,,,
2316,4,7,12,712,18.7,0,54.3,,,,,,,
2317,4,7,13,755,20,1.19266667,51.70066731,,,,,,,
2318,4,7,14,749,20.9,0.94583333,53.42750436,,,,,,,
2319,4,7,15,670,21.4,1.11716667,49.82001673,,,,,,,
2320,4,7,16,547,21.4,0.91016667,45.27339679,,,,,,,
2321,4,7,17,403,21,0.81416667,38.82765128,,,,,,,
2322,4,7,18,226,20,0.59116667,30.32353156,,,,,,,
2323,4,7,19,69,18.6,0.2845,21.8997934,,,,,,,
2324,4,7,20,0,17.2,0.30833333,17.2,,,,,,,
2325,4,7,21,0,16.4,0.79766667,16.4,,,,,,,
2326,4,7,22,0,15.6,1.12416667,15.6,,,,,,,
